field,value
n_instruments,1
n_days,1
gap_ms_describe,"{'min': 1.6e-05, 'median': 0.05594, 'p90': 14.11939860000004, 'p99': 125.96502701, 'max': 1740.985344, 'n_negative': 0}"
n_crossed,0
n_locked,0
n_nonpositive_sizes,0
has_level2,True
has_trades,True
has_trade_side,True
has_event_type,True
notes,[]
